"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 12- 16","94.87","94.42","95.71","94.10","16.74M","0.66%"
"2024- 12- 13","94.25","93.80","94.68","93.04","11.50M","0.17%"
"2024- 12- 12","94.09","95.68","95.71","94.09","14.30M","-0.92%"
"2024- 12- 11","94.96","94.54","95.69","94.50","19.68M","0.43%"
"2024- 12- 10","94.55","94.05","95.24","93.77","13.16M","0.77%"
"2024- 12- 09","93.83","95.66","95.94","93.60","20.93M","-1.95%"
"2024- 12- 06","95.70","95.54","96.18","95.33","18.80M","0.42%"
"2024- 12- 05","95.30","94.89","95.60","94.34","21.93M","0.90%"
"2024- 12- 04","94.45","93.45","94.51","93.05","17.31M","1.01%"
"2024- 12- 03","93.51","92.78","93.59","92.26","17.78M","0.94%"
"2024- 12- 02","92.64","92.82","92.99","91.95","17.17M","0.15%"
"2024- 11- 29","92.50","92.26","92.64","91.82","11.04M","0.67%"
"2024- 11- 27","91.88","92.00","92.25","91.31","14.36M","0.62%"
"2024- 11- 26","91.31","89.89","91.88","89.84","16.66M","2.02%"
"2024- 11- 25","89.50","90.50","90.95","89.06","25.08M","-1.04%"
"2024- 11- 22","90.44","89.41","90.91","88.93","23.99M","2.32%"
"2024- 11- 21","88.39","87.45","88.64","86.93","18.73M","1.39%"
"2024- 11- 20","87.18","86.60","87.20","85.91","18.18M","0.67%"
"2024- 11- 19","86.60","86.23","88.29","85.91","36.34M","3.00%"
"2024- 11- 18","84.08","84.82","84.85","83.66","25.28M","-0.20%"
"2024- 11- 15","84.25","84.53","84.78","83.94","17.37M","-0.26%"
"2024- 11- 14","84.47","85.03","85.76","84.34","15.74M","-1.20%"
"2024- 11- 13","85.50","84.99","85.79","84.77","12.80M","0.60%"
"2024- 11- 12","84.99","84.50","85.53","84.50","12.86M","0.93%"
"2024- 11- 11","84.21","84.95","85.41","84.12","10.43M","-0.73%"
"2024- 11- 08","84.83","84.28","85.42","84.23","14.40M","1.17%"
"2024- 11- 07","83.85","83.72","84.39","83.42","12.67M","0.49%"
"2024- 11- 06","83.44","85.14","85.54","82.06","19.97M","-0.29%"
"2024- 11- 05","83.68","82.68","83.77","82.51","10.61M","1.49%"
