"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 12- 02","171.49","168.76","172.07","168.57","23.79M","1.50%"
"2024- 11- 29","168.95","168.50","169.43","167.16","14.26M","-0.17%"
"2024- 11- 27","169.23","169.00","169.48","168.02","19.27M","0.07%"
"2024- 11- 26","169.12","167.63","169.82","167.58","20.49M","0.88%"
"2024- 11- 25","167.65","166.09","168.63","165.61","33.14M","1.75%"
"2024- 11- 22","164.76","165.85","166.46","163.90","38.60M","-1.71%"
"2024- 11- 21","167.63","173.90","174.13","163.70","59.73M","-4.74%"
"2024- 11- 20","175.98","177.34","177.68","173.78","19.00M","-1.20%"
"2024- 11- 19","178.12","173.72","178.87","173.56","23.43M","1.61%"
"2024- 11- 18","175.30","173.42","175.44","172.90","20.21M","1.63%"
"2024- 11- 15","172.49","173.73","174.14","171.22","32.50M","-1.76%"
"2024- 11- 14","175.58","178.28","178.82","174.32","31.01M","-1.84%"
"2024- 11- 13","178.88","180.46","180.96","178.54","23.18M","-1.51%"
"2024- 11- 12","181.62","179.82","182.49","179.39","25.13M","0.70%"
"2024- 11- 11","180.35","178.58","180.54","178.47","17.45M","1.12%"
"2024- 11- 08","178.35","180.65","180.90","178.08","22.01M","-1.33%"
"2024- 11- 07","180.75","177.41","181.08","177.19","25.35M","2.40%"
"2024- 11- 06","176.51","173.80","176.94","173.50","33.70M","3.99%"
"2024- 11- 05","169.74","169.43","170.53","168.84","18.24M","0.30%"
"2024- 11- 04","169.24","169.93","170.73","168.01","21.49M","-1.20%"
"2024- 11- 01","171.29","170.07","172.32","168.88","31.80M","0.11%"
"2024- 10- 31","171.11","173.13","176.82","171.00","44.77M","-1.92%"
"2024- 10- 30","174.46","180.68","182.02","174.06","68.89M","2.82%"
"2024- 10- 29","169.68","167.73","170.38","167.09","42.17M","1.78%"
"2024- 10- 28","166.72","168.75","168.75","163.95","32.14M","0.88%"
"2024- 10- 25","165.27","163.67","165.59","163.42","19.83M","1.57%"
"2024- 10- 24","162.72","162.83","163.33","161.01","22.41M","-0.04%"
"2024- 10- 23","162.78","164.76","165.82","161.93","18.28M","-1.43%"
"2024- 10- 22","165.14","162.98","165.77","162.98","16.57M","0.65%"
"2024- 10- 21","164.07","162.95","164.50","162.62","20.95M","0.40%"
"2024- 10- 18","163.42","163.19","164.71","163.08","19.76M","0.30%"
"2024- 10- 17","162.93","165.73","166.37","162.76","21.45M","-1.35%"
"2024- 10- 16","165.16","164.53","165.80","163.74","16.41M","-0.18%"
"2024- 10- 15","165.46","165.79","167.68","164.63","20.25M","0.30%"
"2024- 10- 14","164.96","163.64","166.23","163.40","19.02M","1.05%"
"2024- 10- 11","163.24","162.13","163.90","161.24","15.34M","0.72%"
"2024- 10- 10","162.08","160.87","163.07","160.40","14.14M","0.14%"
"2024- 10- 09","161.86","163.45","164.84","159.74","31.18M","-1.53%"
"2024- 10- 08","164.38","163.94","164.73","162.87","23.07M","0.86%"
"2024- 10- 07","162.98","167.72","168.48","162.75","22.46M","-2.44%"
"2024- 10- 04","167.06","168.06","168.23","165.48","19.09M","0.72%"
"2024- 10- 03","165.86","164.41","166.64","163.92","15.07M","0.00%"
"2024- 10- 02","165.86","166.42","167.52","164.73","17.76M","-0.68%"
"2024- 10- 01","166.99","167.68","169.16","164.58","28.34M","0.69%"
