"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 12- 17","619.44","626.17","632.37","616.54","12.90M","-0.77%"
"2024- 12- 16","624.24","629.97","631.15","618.58","10.89M","0.63%"
"2024- 12- 13","620.35","627.22","631.08","616.89","8.45M","-1.66%"
"2024- 12- 12","630.79","631.50","636.66","627.21","7.47M","-0.30%"
"2024- 12- 11","632.68","623.37","638.40","621.53","10.84M","2.16%"
"2024- 12- 10","619.32","617.56","625.59","612.74","10.94M","0.94%"
"2024- 12- 09","613.57","623.92","626.40","606.17","11.43M","-1.64%"
"2024- 12- 06","623.77","610.10","629.79","608.53","16.94M","2.44%"
"2024- 12- 05","608.93","617.08","619.90","607.05","8.08M","-0.79%"
"2024- 12- 04","613.78","612.96","617.78","605.10","14.70M","0.02%"
"2024- 12- 03","613.65","595.00","614.20","591.25","14.91M","3.51%"
"2024- 12- 02","592.83","577.50","594.50","575.57","12.52M","3.22%"
"2024- 11- 29","574.32","569.00","578.46","566.90","7.13M","0.90%"
"2024- 11- 27","569.20","574.89","574.98","564.10","7.20M","-0.76%"
"2024- 11- 26","573.54","566.00","577.50","565.20","10.36M","1.49%"
"2024- 11- 25","565.11","562.10","572.59","556.39","13.60M","1.07%"
"2024- 11- 22","559.14","563.55","563.83","554.59","9.16M","-0.70%"
"2024- 11- 21","563.09","569.52","570.00","549.05","11.15M","-0.43%"
"2024- 11- 20","565.52","562.93","566.35","554.20","9.80M","0.79%"
"2024- 11- 19","561.09","551.86","561.43","550.60","9.52M","1.21%"
"2024- 11- 18","554.40","557.04","559.90","550.09","14.35M","0.06%"
"2024- 11- 15","554.08","571.22","572.57","551.50","17.71M","-4.00%"
"2024- 11- 14","577.16","577.00","580.76","573.01","11.05M","-0.49%"
"2024- 11- 13","580.00","582.60","585.64","575.17","10.76M","-0.82%"
"2024- 11- 12","584.82","588.54","599.66","580.38","16.29M","0.28%"
"2024- 11- 11","583.17","586.36","587.00","576.51","10.21M","-1.05%"
"2024- 11- 08","589.34","591.54","593.10","584.52","9.42M","-0.40%"
"2024- 11- 07","591.70","576.89","594.80","575.21","14.65M","3.44%"
"2024- 11- 06","572.05","562.75","573.00","555.17","18.31M","-0.07%"
"2024- 11- 05","572.43","567.30","573.48","566.67","9.78M","2.10%"
"2024- 11- 04","560.68","564.10","568.69","557.89","12.06M","-1.14%"
"2024- 11- 01","567.16","567.60","573.67","562.56","15.30M","-0.07%"
"2024- 10- 31","567.58","585.00","589.90","563.01","26.84M","-4.09%"
"2024- 10- 30","591.80","600.98","601.20","589.38","26.86M","-0.25%"
"2024- 10- 29","593.28","580.15","593.67","575.40","13.02M","2.62%"
"2024- 10- 28","578.16","582.00","583.75","574.12","10.93M","0.86%"
"2024- 10- 25","573.25","573.93","581.29","571.72","11.34M","0.96%"
"2024- 10- 24","567.78","567.13","568.88","561.52","7.18M","0.73%"
"2024- 10- 23","563.69","579.97","585.00","562.50","14.25M","-3.15%"
"2024- 10- 22","582.01","574.29","583.53","572.12","8.54M","1.19%"
"2024- 10- 21","575.16","576.03","577.24","569.11","8.17M","-0.23%"
"2024- 10- 18","576.47","581.10","583.97","575.25","7.69M","-0.08%"
"2024- 10- 17","576.93","583.33","584.97","575.20","8.70M","0.02%"
"2024- 10- 16","576.79","581.40","582.08","574.03","11.27M","-1.62%"
"2024- 10- 15","586.27","590.16","590.61","580.14","9.56M","-0.70%"
"2024- 10- 14","590.42","594.22","600.10","589.96","8.25M","0.08%"
"2024- 10- 11","589.95","584.83","591.21","582.71","8.59M","1.05%"
"2024- 10- 10","583.83","587.57","590.23","582.52","7.74M","-1.13%"
"2024- 10- 09","590.51","593.99","594.39","581.61","9.53M","-0.40%"
"2024- 10- 08","592.89","589.69","593.56","585.97","7.86M","1.39%"
"2024- 10- 07","584.78","598.22","602.95","584.04","12.01M","-1.87%"
"2024- 10- 04","595.94","583.73","596.85","581.43","14.20M","2.26%"
"2024- 10- 03","582.77","570.15","583.36","568.73","11.58M","1.74%"
"2024- 10- 02","572.81","574.86","576.00","569.34","6.52M","-0.63%"
"2024- 10- 01","576.47","577.98","583.04","570.10","15.26M","0.70%"
