"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 13","173.58","174.71","175.59","172.60","17.47M","-1.50%"
"2024- 11- 12","176.22","178.90","179.56","173.20","15.86M","-1.50%"
"2024- 11- 11","178.91","183.40","183.63","176.82","17.04M","-2.58%"
"2024- 11- 08","183.64","182.99","185.05","181.83","13.50M","-0.09%"
"2024- 11- 07","183.81","181.99","184.87","181.79","18.97M","2.37%"
"2024- 11- 06","179.55","179.63","180.21","175.96","24.30M","3.25%"
"2024- 11- 05","173.90","170.05","174.40","170.05","13.44M","3.17%"
"2024- 11- 04","168.55","169.28","172.45","168.42","13.62M","-0.22%"
"2024- 11- 01","168.92","168.26","171.33","167.50","17.85M","-0.50%"
"2024- 10- 31","169.77","174.45","174.45","167.38","26.09M","-3.89%"
"2024- 10- 30","176.64","177.47","179.19","175.62","17.91M","-1.45%"
"2024- 10- 29","179.24","172.43","180.23","171.21","23.70M","4.20%"
"2024- 10- 28","172.02","173.00","173.97","171.35","13.20M","-0.57%"
"2024- 10- 25","173.00","174.19","176.80","172.72","19.98M","0.96%"
"2024- 10- 24","171.35","174.26","174.30","169.50","20.49M","-1.24%"
"2024- 10- 23","173.51","177.59","178.98","172.57","19.51M","-3.27%"
"2024- 10- 22","179.38","178.66","180.69","177.41","12.06M","-0.34%"
"2024- 10- 21","179.99","179.38","181.72","178.25","13.70M","0.06%"
"2024- 10- 18","179.89","182.32","182.71","178.68","17.84M","-0.90%"
"2024- 10- 17","181.53","181.37","185.51","180.69","25.23M","2.66%"
"2024- 10- 16","176.82","178.51","179.25","175.33","15.29M","0.48%"
"2024- 10- 15","175.98","180.79","181.70","173.37","27.66M","-3.47%"
"2024- 10- 14","182.31","183.30","184.95","180.13","17.20M","0.46%"
"2024- 10- 11","181.48","181.14","182.59","177.40","23.07M","-2.27%"
"2024- 10- 10","185.69","183.56","186.31","182.53","16.32M","-0.14%"
"2024- 10- 09","185.95","179.24","186.42","176.42","25.50M","2.89%"
"2024- 10- 08","180.73","175.42","181.60","174.89","20.77M","3.23%"
"2024- 10- 07","175.08","174.82","178.31","173.86","15.59M","-0.88%"
"2024- 10- 04","176.64","176.30","176.90","172.60","17.94M","2.76%"
"2024- 10- 03","171.89","169.62","174.94","169.19","13.07M","0.72%"
"2024- 10- 02","170.66","167.55","172.84","167.02","14.32M","1.90%"
"2024- 10- 01","167.47","172.16","172.25","165.80","23.77M","-2.92%"
