"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 12- 27","431.66","449.52","450.00","426.50","82.67M","-4.95%"
"2024- 12- 26","454.13","465.16","465.33","451.02","76.65M","-1.76%"
"2024- 12- 24","462.28","435.90","462.78","435.14","59.55M","7.36%"
"2024- 12- 23","430.60","431.00","434.51","415.41","72.70M","2.27%"
"2024- 12- 20","421.06","425.51","447.08","417.64","132.22M","-3.46%"
"2024- 12- 19","436.17","451.88","456.36","420.02","118.57M","-0.90%"
"2024- 12- 18","440.13","466.49","488.54","427.01","149.34M","-8.28%"
"2024- 12- 17","479.86","475.90","483.99","457.51","131.22M","3.64%"
"2024- 12- 16","463.02","441.09","463.19","436.15","114.08M","6.14%"
"2024- 12- 13","436.23","420.00","436.30","415.71","89.00M","4.34%"
"2024- 12- 12","418.10","424.84","429.30","415.00","87.75M","-1.57%"
"2024- 12- 11","424.77","409.70","424.88","402.38","104.29M","5.93%"
"2024- 12- 10","400.99","392.68","409.73","390.85","97.56M","2.87%"
"2024- 12- 09","389.79","397.61","404.80","378.01","96.36M","0.15%"
"2024- 12- 06","389.22","377.42","389.49","370.80","81.46M","5.34%"
"2024- 12- 05","369.49","359.87","375.43","359.50","81.40M","3.23%"
"2024- 12- 04","357.93","353.00","358.10","348.60","50.81M","1.85%"
"2024- 12- 03","351.42","351.80","355.69","348.20","58.27M","-1.59%"
"2024- 12- 02","357.09","352.38","360.00","351.15","77.99M","3.46%"
"2024- 11- 29","345.16","336.08","345.45","334.65","37.17M","3.69%"
"2024- 11- 27","332.89","341.80","342.55","326.59","57.90M","-1.58%"
"2024- 11- 26","338.23","341.00","346.96","335.66","62.30M","-0.11%"
"2024- 11- 25","338.59","360.14","361.93","338.20","95.89M","-3.96%"
"2024- 11- 22","352.56","341.08","361.53","337.70","89.14M","3.80%"
"2024- 11- 21","339.64","343.81","347.99","335.28","58.01M","-0.70%"
"2024- 11- 20","342.03","345.00","346.60","334.30","66.34M","-1.15%"
"2024- 11- 19","346.00","335.76","347.38","332.75","88.85M","2.14%"
"2024- 11- 18","338.74","340.73","348.55","330.01","126.55M","5.62%"
"2024- 11- 15","320.72","310.57","324.68","309.22","114.44M","3.07%"
"2024- 11- 14","311.18","327.69","329.98","310.37","120.73M","-5.77%"
"2024- 11- 13","330.24","335.85","344.60","322.50","125.41M","0.53%"
"2024- 11- 12","328.49","342.74","345.84","323.31","155.73M","-6.15%"
"2024- 11- 11","350.00","346.30","358.64","336.00","210.52M","8.96%"
"2024- 11- 08","321.22","299.14","328.71","297.66","204.78M","8.19%"
"2024- 11- 07","296.91","288.89","299.75","285.52","117.31M","2.90%"
"2024- 11- 06","288.53","284.67","289.59","275.62","165.23M","14.75%"
"2024- 11- 05","251.44","247.34","255.28","246.21","69.28M","3.54%"
"2024- 11- 04","242.84","244.56","248.90","238.88","68.80M","-2.47%"
"2024- 11- 01","248.98","252.04","254.00","246.63","57.55M","-0.35%"
"2024- 10- 31","249.85","257.99","259.75","249.25","66.58M","-2.99%"
"2024- 10- 30","257.55","258.04","263.35","255.82","53.99M","-0.76%"
"2024- 10- 29","259.52","264.51","264.98","255.51","80.52M","-1.14%"
"2024- 10- 28","262.51","270.00","273.54","262.24","107.65M","-2.48%"
"2024- 10- 25","269.19","256.01","269.49","255.32","161.61M","3.34%"
"2024- 10- 24","260.48","244.68","262.12","242.65","204.49M","21.92%"
