"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 01- 02","138.31","136.00","138.88","134.63","198.25M","2.99%"
"2024- 12- 31","134.29","138.03","138.07","133.83","155.66M","-2.33%"
"2024- 12- 30","137.49","134.83","140.27","134.02","167.74M","0.35%"
"2024- 12- 27","137.01","138.55","139.02","134.71","170.58M","-2.09%"
"2024- 12- 26","139.93","139.70","140.85","137.73","116.52M","-0.21%"
"2024- 12- 24","140.22","140.00","141.90","138.65","105.16M","0.39%"
"2024- 12- 23","139.67","136.28","139.79","135.12","176.05M","3.69%"
"2024- 12- 20","134.70","129.81","135.28","128.22","306.53M","3.08%"
"2024- 12- 19","130.68","131.76","134.03","129.55","209.72M","1.37%"
"2024- 12- 18","128.91","133.86","136.70","128.28","277.44M","-1.14%"
"2024- 12- 17","130.39","129.09","131.59","126.86","259.41M","-1.22%"
"2024- 12- 16","132.00","134.18","134.40","130.42","237.95M","-1.68%"
"2024- 12- 13","134.25","138.94","139.60","132.54","231.52M","-2.25%"
"2024- 12- 12","137.34","137.08","138.44","135.80","159.21M","-1.41%"
"2024- 12- 11","139.31","137.36","140.17","135.21","184.90M","3.14%"
"2024- 12- 10","135.07","139.01","141.82","133.79","210.02M","-2.69%"
"2024- 12- 09","138.81","138.97","139.95","137.13","189.31M","-2.55%"
"2024- 12- 06","142.44","144.60","145.70","141.31","188.51M","-1.81%"
"2024- 12- 05","145.06","145.11","146.54","143.95","172.62M","-0.06%"
"2024- 12- 04","145.14","141.99","145.79","140.29","231.22M","3.48%"
"2024- 12- 03","140.26","138.26","140.54","137.95","164.41M","1.18%"
"2024- 12- 02","138.63","138.83","140.45","137.82","171.68M","0.27%"
"2024- 11- 29","138.25","136.78","139.35","136.05","141.86M","2.15%"
"2024- 11- 27","135.34","135.01","137.22","131.80","226.37M","-1.15%"
"2024- 11- 26","136.92","137.70","139.30","135.67","190.29M","0.66%"
"2024- 11- 25","136.02","141.99","142.05","135.82","344.94M","-4.18%"
"2024- 11- 22","141.95","145.93","147.16","141.10","236.41M","-3.22%"
"2024- 11- 21","146.67","149.35","152.89","140.70","400.95M","0.53%"
"2024- 11- 20","145.89","147.41","147.56","142.73","309.87M","-0.76%"
"2024- 11- 19","147.01","141.32","147.13","140.99","227.84M","4.89%"
"2024- 11- 18","140.15","139.50","141.55","137.15","221.87M","-1.29%"
"2024- 11- 15","141.98","144.87","145.24","140.08","250.13M","-3.26%"
"2024- 11- 14","146.76","147.64","149.00","145.55","194.46M","0.33%"
"2024- 11- 13","146.27","149.07","149.33","145.90","191.90M","-1.36%"
"2024- 11- 12","148.29","146.78","149.65","146.01","198.64M","2.09%"
"2024- 11- 11","145.26","148.68","148.85","143.57","182.33M","-1.61%"
"2024- 11- 08","147.63","148.77","149.77","146.26","175.67M","-0.84%"
"2024- 11- 07","148.88","146.39","148.93","146.17","207.32M","2.25%"
"2024- 11- 06","145.61","142.96","146.49","141.96","242.04M","4.07%"
"2024- 11- 05","139.91","137.45","140.37","137.33","160.54M","2.84%"
"2024- 11- 04","136.05","137.21","138.96","135.57","187.53M","0.48%"
"2024- 11- 01","135.40","134.70","137.31","134.57","207.13M","1.99%"
"2024- 10- 31","132.76","137.60","137.61","132.11","270.04M","-4.72%"
"2024- 10- 30","139.34","139.54","140.33","136.81","179.42M","-1.36%"
"2024- 10- 29","141.25","140.29","142.26","138.90","157.59M","0.52%"
"2024- 10- 28","140.52","143.00","143.14","140.05","173.59M","-0.72%"
"2024- 10- 25","141.54","140.93","144.13","140.80","205.12M","0.80%"
"2024- 10- 24","140.41","140.82","141.35","138.46","172.36M","0.61%"
"2024- 10- 23","139.56","142.03","142.43","137.46","285.93M","-2.81%"
"2024- 10- 22","143.59","142.91","144.42","141.78","226.31M","-0.08%"
"2024- 10- 21","143.71","138.13","143.71","138.00","264.56M","4.14%"
"2024- 10- 18","138.00","138.66","138.90","137.28","176.09M","0.78%"
"2024- 10- 17","136.93","139.34","140.89","136.87","306.44M","0.89%"
"2024- 10- 16","135.72","133.98","136.62","131.58","264.88M","3.13%"
"2024- 10- 15","131.60","137.87","138.57","128.74","377.83M","-4.69%"
"2024- 10- 14","138.07","136.47","139.60","136.30","232.35M","2.43%"
"2024- 10- 11","134.80","134.01","135.78","133.66","170.21M","-0.01%"
"2024- 10- 10","134.81","131.91","135.00","131.00","242.31M","1.63%"
"2024- 10- 09","132.65","134.11","134.52","131.38","246.19M","-0.18%"
"2024- 10- 08","132.89","130.26","133.48","129.42","285.72M","4.05%"
"2024- 10- 07","127.72","124.99","130.64","124.95","346.25M","2.24%"
"2024- 10- 04","124.92","124.94","125.04","121.83","244.47M","1.68%"
"2024- 10- 03","122.85","120.92","124.36","120.34","277.12M","3.37%"
"2024- 10- 02","118.85","116.44","119.38","115.14","221.85M","1.58%"
"2024- 10- 01","117.00","121.76","122.44","115.79","302.09M","-3.66%"
