"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 01- 15","223.35","222.83","223.57","220.75","31.29M","2.57%"
"2025- 01- 14","217.76","220.44","221.82","216.20","24.71M","-0.32%"
"2025- 01- 13","218.46","218.06","219.40","216.47","27.26M","-0.22%"
"2025- 01- 10","218.94","221.46","221.71","216.50","36.81M","-1.44%"
"2025- 01- 08","222.13","223.18","223.52","220.20","25.03M","0.01%"
"2025- 01- 07","222.11","227.90","228.38","221.46","28.08M","-2.42%"
"2025- 01- 06","227.61","226.78","228.84","224.84","31.85M","1.53%"
"2025- 01- 03","224.19","222.51","225.36","221.62","27.52M","1.80%"
"2025- 01- 02","220.22","222.03","225.15","218.19","33.96M","0.38%"
"2024- 12- 31","219.39","222.96","223.23","218.94","24.82M","-0.86%"
"2024- 12- 30","221.30","220.06","223.00","218.43","28.32M","-1.09%"
"2024- 12- 27","223.75","225.60","226.03","220.90","27.37M","-1.45%"
"2024- 12- 26","227.05","228.50","228.50","226.67","16.17M","-0.87%"
"2024- 12- 24","229.05","226.94","229.14","226.13","15.01M","1.77%"
"2024- 12- 23","225.06","225.01","226.88","223.90","28.07M","0.06%"
"2024- 12- 20","224.92","219.84","226.21","218.73","88.28M","0.73%"
"2024- 12- 19","223.29","224.91","226.09","222.92","39.92M","1.26%"
"2024- 12- 18","220.52","230.77","231.40","220.11","43.28M","-4.60%"
"2024- 12- 17","231.15","232.39","232.73","227.85","35.95M","-0.76%"
"2024- 12- 16","232.93","230.23","233.00","228.01","37.55M","2.40%"
"2024- 12- 13","227.46","228.40","230.20","225.86","28.77M","-0.66%"
"2024- 12- 12","228.97","229.83","231.09","227.63","28.20M","-0.56%"
"2024- 12- 11","230.26","226.41","231.20","226.26","35.39M","2.32%"
"2024- 12- 10","225.04","226.09","229.06","224.20","31.20M","-0.46%"
"2024- 12- 09","226.09","227.21","230.08","225.67","46.82M","-0.41%"
"2024- 12- 06","227.03","220.75","227.15","220.60","44.18M","2.94%"
"2024- 12- 05","220.55","218.03","222.15","217.30","41.14M","1.10%"
"2024- 12- 04","218.16","215.96","220.00","215.75","48.75M","2.21%"
"2024- 12- 03","213.44","210.31","214.02","209.65","32.21M","1.30%"
"2024- 12- 02","210.71","209.96","212.99","209.51","39.52M","1.36%"
"2024- 11- 29","207.89","205.83","208.20","204.59","24.89M","1.05%"
"2024- 11- 27","205.74","206.98","207.64","205.05","28.06M","-1.02%"
"2024- 11- 26","207.86","201.90","208.00","201.79","41.67M","3.18%"
"2024- 11- 25","201.45","199.28","201.95","199.00","40.69M","2.20%"
"2024- 11- 22","197.12","198.25","199.26","196.75","31.53M","-0.64%"
"2024- 11- 21","198.38","203.49","203.49","195.75","58.80M","-2.22%"
"2024- 11- 20","202.88","202.98","203.13","199.45","32.77M","-0.85%"
"2024- 11- 19","204.61","199.33","205.30","198.78","31.20M","1.44%"
"2024- 11- 18","201.70","204.15","204.67","200.95","36.51M","-0.45%"
"2024- 11- 15","202.61","206.76","207.34","199.61","86.59M","-4.19%"
"2024- 11- 14","211.48","214.16","215.90","210.88","42.62M","-1.22%"
"2024- 11- 13","214.10","209.40","215.09","209.14","46.21M","2.48%"
"2024- 11- 12","208.91","208.37","209.54","206.01","38.94M","1.00%"
"2024- 11- 11","206.84","208.50","209.65","205.59","35.46M","-0.64%"
"2024- 11- 08","208.18","209.72","209.96","207.44","36.08M","-0.89%"
"2024- 11- 07","210.05","207.44","212.25","207.19","52.88M","1.43%"
"2024- 11- 06","207.09","200.01","207.55","199.14","72.29M","3.80%"
"2024- 11- 05","199.50","196.04","199.82","195.99","30.56M","1.90%"
"2024- 11- 04","195.78","196.45","197.33","194.31","38.49M","-1.09%"
"2024- 11- 01","197.93","199.00","200.50","197.02","99.69M","6.19%"
"2024- 10- 31","186.40","190.51","190.60","185.23","75.15M","-3.28%"
"2024- 10- 30","192.73","194.70","195.61","192.42","37.71M","1.00%"
"2024- 10- 29","190.83","188.58","191.46","187.82","35.69M","1.30%"
"2024- 10- 28","188.39","189.57","190.21","188.21","27.93M","0.30%"
"2024- 10- 25","187.83","187.85","190.45","187.53","29.36M","0.78%"
"2024- 10- 24","186.38","185.25","187.11","183.86","21.65M","0.90%"
"2024- 10- 23","184.71","188.85","189.16","183.69","31.94M","-2.63%"
"2024- 10- 22","189.70","188.35","191.52","186.98","29.65M","0.33%"
"2024- 10- 21","189.07","188.05","189.46","186.40","24.64M","0.04%"
"2024- 10- 18","188.99","187.15","190.74","186.28","37.42M","0.78%"
"2024- 10- 17","187.53","188.22","188.94","186.00","25.04M","0.34%"
"2024- 10- 16","186.89","187.05","187.78","185.61","23.46M","-0.43%"
"2024- 10- 15","187.69","187.63","188.41","184.58","32.18M","0.08%"
"2024- 10- 14","187.54","189.78","189.83","187.36","22.61M","-0.68%"
"2024- 10- 11","188.82","186.63","189.93","186.30","25.75M","1.16%"
"2024- 10- 10","186.65","187.13","188.13","185.83","27.79M","0.80%"
"2024- 10- 09","185.17","182.82","185.85","182.05","26.34M","1.34%"
"2024- 10- 08","182.72","181.91","183.09","180.92","26.37M","1.06%"
"2024- 10- 07","180.80","182.95","183.60","180.25","42.36M","-3.06%"
"2024- 10- 04","186.51","185.75","187.60","183.60","41.08M","2.50%"
"2024- 10- 03","181.96","183.04","183.44","180.88","30.20M","-1.52%"
"2024- 10- 02","184.76","184.44","186.60","184.04","23.70M","-0.20%"
"2024- 10- 01","185.13","184.90","186.19","183.45","36.04M","-0.64%"
