"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 06- 02","201.70","200.28","202.13","200.12","35.42M","0.42%"
"2025- 05- 30","200.85","199.37","201.96","196.78","70.82M","0.45%"
"2025- 05- 29","199.95","203.57","203.81","198.51","51.48M","-0.23%"
"2025- 05- 28","200.42","200.59","202.73","199.90","45.34M","0.10%"
"2025- 05- 27","200.21","198.30","200.74","197.43","56.29M","2.53%"
"2025- 05- 23","195.27","193.66","197.70","193.46","78.43M","-3.02%"
"2025- 05- 22","201.36","200.71","202.75","199.70","46.74M","-0.36%"
"2025- 05- 21","202.09","205.17","207.04","200.71","59.21M","-2.31%"
"2025- 05- 20","206.86","207.67","208.47","205.03","42.50M","-0.92%"
"2025- 05- 19","208.78","207.91","209.48","204.26","46.14M","-1.17%"
"2025- 05- 16","211.26","212.36","212.57","209.77","54.74M","-0.09%"
"2025- 05- 15","211.45","210.95","212.96","209.54","45.03M","-0.41%"
"2025- 05- 14","212.33","212.43","213.94","210.58","49.33M","-0.28%"
"2025- 05- 13","212.93","210.43","213.40","209.00","51.91M","1.02%"
"2025- 05- 12","210.79","210.97","211.27","206.75","63.78M","6.18%"
"2025- 05- 09","198.53","199.00","200.54","197.54","36.45M","0.53%"
"2025- 05- 08","197.49","197.72","200.05","194.68","50.48M","0.63%"
"2025- 05- 07","196.25","199.17","199.44","193.25","68.62M","-1.14%"
"2025- 05- 06","198.51","198.21","200.65","197.02","51.22M","-0.19%"
"2025- 05- 05","198.89","203.10","204.10","198.21","69.02M","-3.15%"
"2025- 05- 02","205.35","206.09","206.99","202.16","101.01M","-3.74%"
"2025- 05- 01","213.32","209.08","214.56","208.90","57.37M","0.39%"
"2025- 04- 30","212.50","209.30","213.58","206.67","52.29M","0.61%"
"2025- 04- 29","211.21","208.69","212.24","208.37","36.83M","0.51%"
"2025- 04- 28","210.14","210.00","211.50","207.46","38.74M","0.41%"
"2025- 04- 25","209.28","206.37","209.75","206.20","38.22M","0.44%"
"2025- 04- 24","208.37","204.89","208.83","202.94","47.31M","1.84%"
"2025- 04- 23","204.60","206.00","208.00","202.80","52.93M","2.43%"
"2025- 04- 22","199.74","196.12","201.59","195.97","52.98M","3.41%"
"2025- 04- 21","193.16","193.26","193.80","189.81","46.74M","-1.94%"
"2025- 04- 17","196.98","197.20","198.83","194.42","52.16M","1.39%"
"2025- 04- 16","194.27","198.36","200.70","192.37","59.73M","-3.89%"
"2025- 04- 15","202.14","201.85","203.51","199.80","51.34M","-0.19%"
"2025- 04- 14","202.52","211.44","212.94","201.16","101.35M","2.21%"
"2025- 04- 11","198.15","186.10","199.54","186.06","87.44M","4.06%"
"2025- 04- 10","190.42","189.07","194.78","183.00","121.88M","-4.24%"
"2025- 04- 09","198.85","171.95","200.61","171.89","184.40M","15.33%"
"2025- 04- 08","172.42","186.70","190.34","169.21","120.86M","-4.98%"
"2025- 04- 07","181.46","177.20","194.15","174.62","160.47M","-3.67%"
"2025- 04- 04","188.38","193.89","199.88","187.34","125.91M","-7.29%"
"2025- 04- 03","203.19","205.54","207.49","201.25","103.42M","-9.25%"
"2025- 04- 02","223.89","221.32","225.19","221.02","35.91M","0.31%"
"2025- 04- 01","223.19","219.80","223.68","218.90","36.41M","0.48%"
"2025- 03- 31","222.13","217.01","225.62","216.23","65.30M","1.94%"
"2025- 03- 28","217.90","221.67","223.81","217.68","39.82M","-2.66%"
"2025- 03- 27","223.85","221.39","224.99","220.56","37.09M","1.05%"
"2025- 03- 26","221.53","223.51","225.02","220.47","34.53M","-0.99%"
"2025- 03- 25","223.75","220.77","224.10","220.08","34.49M","1.37%"
"2025- 03- 24","220.73","221.00","221.48","218.58","44.30M","1.13%"
"2025- 03- 21","218.27","211.56","218.84","211.28","94.13M","1.95%"
"2025- 03- 20","214.10","213.99","217.49","212.22","48.86M","-0.53%"
"2025- 03- 19","215.24","214.22","218.76","213.75","54.39M","1.20%"
"2025- 03- 18","212.69","214.16","215.15","211.49","42.43M","-0.61%"
"2025- 03- 17","214.00","213.31","215.22","209.97","48.07M","0.24%"
"2025- 03- 14","213.49","211.25","213.95","209.58","60.11M","1.82%"
"2025- 03- 13","209.68","215.95","216.84","208.42","61.37M","-3.36%"
"2025- 03- 12","216.98","220.14","221.75","214.91","62.55M","-1.75%"
"2025- 03- 11","220.84","223.80","225.84","217.45","76.14M","-2.92%"
"2025- 03- 10","227.48","235.54","236.16","224.22","72.07M","-4.85%"
"2025- 03- 07","239.07","235.10","241.37","234.76","46.27M","1.59%"
"2025- 03- 06","235.33","234.43","237.86","233.16","45.17M","-0.17%"
"2025- 03- 05","235.74","235.42","236.55","229.23","47.23M","-0.08%"
"2025- 03- 04","235.93","237.71","240.07","234.68","53.80M","-0.88%"
"2025- 03- 03","238.03","241.79","244.03","236.11","47.18M","-1.58%"
"2025- 02- 28","241.84","236.95","242.09","230.20","56.83M","1.91%"
"2025- 02- 27","237.30","239.41","242.46","237.06","41.15M","-1.27%"
"2025- 02- 26","240.36","244.33","244.98","239.13","44.43M","-2.70%"
"2025- 02- 25","247.04","248.00","250.00","244.91","48.01M","-0.02%"
"2025- 02- 24","247.10","244.93","248.86","244.42","51.33M","0.63%"
"2025- 02- 21","245.55","245.95","248.69","245.22","53.20M","-0.11%"
"2025- 02- 20","245.83","244.94","246.78","244.29","32.32M","0.39%"
"2025- 02- 19","244.87","244.66","246.01","243.16","32.20M","0.16%"
"2025- 02- 18","244.47","244.15","245.18","241.84","48.82M","-0.05%"
"2025- 02- 14","244.60","241.25","245.55","240.99","40.90M","1.27%"
"2025- 02- 13","241.53","236.91","242.34","235.57","53.61M","1.97%"
"2025- 02- 12","236.87","231.20","236.96","230.68","45.24M","1.83%"
"2025- 02- 11","232.62","228.20","235.23","228.13","53.72M","2.18%"
"2025- 02- 10","227.65","229.57","230.59","227.20","33.12M","0.01%"
"2025- 02- 07","227.63","232.60","234.00","227.26","39.71M","-2.40%"
"2025- 02- 06","233.22","231.29","233.80","230.43","29.93M","0.32%"
"2025- 02- 05","232.47","228.53","232.67","228.27","39.66M","-0.14%"
"2025- 02- 04","232.80","227.25","233.13","226.65","45.07M","2.10%"
"2025- 02- 03","228.01","229.99","231.83","225.70","73.06M","-3.39%"
"2025- 01- 31","236.00","247.19","247.19","233.44","101.08M","-0.67%"
"2025- 01- 30","237.59","238.66","240.79","237.21","55.66M","-0.74%"
"2025- 01- 29","239.36","234.12","239.85","234.01","45.49M","0.46%"
"2025- 01- 28","238.26","230.85","240.19","230.81","75.71M","3.65%"
"2025- 01- 27","229.86","224.02","232.15","223.98","94.86M","3.18%"
"2025- 01- 24","222.78","224.78","225.63","221.41","54.70M","-0.39%"
"2025- 01- 23","223.66","224.74","227.03","222.30","60.23M","-0.08%"
